"CITY_ID","CITY_NAME","COUNTRY_NAME","AVG_COST_FOR_TWO_USD","AVG_COST_FOR_TWO_BRL","AVG_COST_FOR_TWO_EUR","HAS_TABLE_BOOKING","HAS_ONLINE_DELIVERY","PRICE_RANGE","AGGREGATE_RATING","NUM_OF_VOTES","RATING_COLOR","RATING_TEXT","REST_PER_CITY"
1,"New Delhi","India",5.27,24.82,4.85,false,false,1,3.6,20,"9ACD32","Good",5473
1,"Noida","India",2.64,12.41,2.42,false,false,1,0,0,"CBCBC8","Not rated",1080
1,"Gurgaon","India",2.64,12.41,2.42,false,false,1,0,1,"CBCBC8","Not rated",1118
1,"New Delhi","India",21.09,99.28,19.38,true,true,3,3.7,792,"9ACD32","Good",5473
1,"New Delhi","India",5.27,24.82,4.85,false,false,1,0,0,"CBCBC8","Not rated",5473
1,"New Delhi","India",6.59,31.03,6.06,false,true,2,2.7,5,"FFBA00","Average",5473
1,"New Delhi","India",9.89,46.54,9.09,false,true,2,2.3,55,"FF7800","Poor",5473
1,"New Delhi","India",1.98,9.31,1.82,false,false,1,0,0,"CBCBC8","Not rated",5473
1,"New Delhi","India",5.27,24.82,4.85,false,false,1,3.2,11,"CDD614","Average",5473
1,"New Delhi","India",9.23,43.44,8.48,false,true,2,2.7,8,"FFBA00","Average",5473
1,"Noida","India",7.91,37.23,7.27,false,false,2,3.7,86,"9ACD32","Good",1080
1,"New Delhi","India",6.59,31.03,6.06,false,false,2,2.8,8,"FFBA00","Average",5473
1,"Noida","India",4.61,21.72,4.24,false,false,1,0,0,"CBCBC8","Not rated",1080
1,"New Delhi","India",1.98,9.31,1.82,false,false,1,0,0,"CBCBC8","Not rated",5473
1,"New Delhi","India",17.14,80.67,15.75,true,false,3,4.1,467,"5BA829","Very Good",5473
1,"New Delhi","India",26.37,124.11,24.23,true,false,4,3.8,52,"9ACD32","Good",5473
1,"New Delhi","India",2.64,12.41,2.42,false,false,1,0,1,"CBCBC8","Not rated",5473
1,"New Delhi","India",5.27,24.82,4.85,false,true,1,3.6,34,"9ACD32","Good",5473
1,"Gurgaon","India",3.96,18.62,3.63,false,true,1,3.6,39,"9ACD32","Good",1118
1,"Noida","India",3.3,15.51,3.03,false,false,1,0,0,"CBCBC8","Not rated",1080
1,"New Delhi","India",7.91,37.23,7.27,false,false,2,3.4,25,"CDD614","Average",5473
1,"New Delhi","India",13.18,62.05,12.11,true,false,3,0,3,"CBCBC8","Not rated",5473
1,"New Delhi","India",3.96,18.62,3.63,false,false,1,0,0,"CBCBC8","Not rated",5473
1,"New Delhi","India",5.93,27.92,5.45,false,false,1,2.3,52,"FF7800","Poor",5473
1,"New Delhi","India",6.59,31.03,6.06,false,false,2,3.1,10,"CDD614","Average",5473
1,"Noida","India",5.93,27.92,5.45,false,true,1,3.6,125,"9ACD32","Good",1080
1,"New Delhi","India",7.91,37.23,7.27,false,true,2,3.4,202,"CDD614","Average",5473
1,"New Delhi","India",2.64,12.41,2.42,false,false,1,3,6,"CDD614","Average",5473
1,"New Delhi","India",3.96,18.62,3.63,false,false,1,2.9,4,"FFBA00","Average",5473
1,"New Delhi","India",6.59,31.03,6.06,false,false,2,0,0,"CBCBC8","Not rated",5473
1,"New Delhi","India",3.96,18.62,3.63,false,false,1,3,6,"CDD614","Average",5473
1,"Gurgaon","India",5.93,27.92,5.45,false,false,1,3.1,20,"CDD614","Average",1118
1,"New Delhi","India",3.96,18.62,3.63,false,false,1,3.2,9,"CDD614","Average",5473
1,"New Delhi","India",3.96,18.62,3.63,false,false,1,0,0,"CBCBC8","Not rated",5473
1,"New Delhi","India",4.61,21.72,4.24,false,true,1,3.2,212,"CDD614","Average",5473
1,"Gurgaon","India",2.64,12.41,2.42,false,true,1,3.5,30,"9ACD32","Good",1118
